patient,sample,lane,fastq_1,fastq_2
patient1,SAMN22234697,lane2,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12805722_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12805722_2.fastq.gz
patient1,SAMN22234693,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12805715_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12805715_2.fastq.gz
patient1,SAMN22234693,lane2,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12805719_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12805719_2.fastq.gz
patient1,SAMN22234692,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12805716_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12805716_2.fastq.gz
patient1,SAMN22234692,lane2,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12805723_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12805723_2.fastq.gz
patient1,SAMN22234691,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12805717_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12805717_2.fastq.gz
patient1,SAMN22234691,lane2,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12805724_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12805724_2.fastq.gz
patient1,SAMN22234696,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12805718_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12805718_2.fastq.gz
patient1,SAMN22234696,lane2,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12805725_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12805725_2.fastq.gz
patient1,SAMN22234695,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12805726_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12805726_2.fastq.gz
patient1,SAMN22234695,lane2,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12805727_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12805727_2.fastq.gz
patient1,SAMN17319785,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13441376_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13441376_2.fastq.gz
patient1,SAMN17319784,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13441377_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13441377_2.fastq.gz
patient1,SAMN17319783,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13441378_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13441378_2.fastq.gz
patient1,SAMN18035060,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13775064_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13775064_2.fastq.gz
patient1,SAMN22234296,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786940_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786940_2.fastq.gz
patient1,SAMN22234295,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786941_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786941_2.fastq.gz
patient1,SAMN22234294,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786942_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786942_2.fastq.gz
patient1,SAMN22234293,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786943_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786943_2.fastq.gz
patient1,SAMN22234307,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786944_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786944_2.fastq.gz
patient1,SAMN22234342,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786945_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786945_2.fastq.gz
patient1,SAMN22234341,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786946_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786946_2.fastq.gz
patient1,SAMN22234340,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786947_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786947_2.fastq.gz
patient1,SAMN22234339,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786948_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786948_2.fastq.gz
patient1,SAMN22234338,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786949_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786949_2.fastq.gz
patient1,SAMN22234292,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786950_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786950_2.fastq.gz
patient1,SAMN22234337,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786951_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786951_2.fastq.gz
patient1,SAMN22234336,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786952_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786952_2.fastq.gz
patient1,SAMN22234335,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786953_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786953_2.fastq.gz
patient1,SAMN22234334,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786954_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786954_2.fastq.gz
patient1,SAMN22234333,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786955_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786955_2.fastq.gz
patient1,SAMN22234332,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786956_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786956_2.fastq.gz
patient1,SAMN22234331,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786957_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786957_2.fastq.gz
patient1,SAMN22234330,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786958_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786958_2.fastq.gz
patient1,SAMN22234329,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786959_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786959_2.fastq.gz
patient1,SAMN22234328,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786960_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786960_2.fastq.gz
patient1,SAMN22234291,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786961_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786961_2.fastq.gz
patient1,SAMN22234327,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786962_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786962_2.fastq.gz
patient1,SAMN22234326,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786963_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786963_2.fastq.gz
patient1,SAMN22234325,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786964_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786964_2.fastq.gz
patient1,SAMN22234324,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786965_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786965_2.fastq.gz
patient1,SAMN22234323,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786966_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786966_2.fastq.gz
patient1,SAMN22234322,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786967_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786967_2.fastq.gz
patient1,SAMN22234321,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786968_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786968_2.fastq.gz
patient1,SAMN22234320,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786969_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786969_2.fastq.gz
patient1,SAMN22234319,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786970_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786970_2.fastq.gz
patient1,SAMN22234318,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786971_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786971_2.fastq.gz
patient1,SAMN22234290,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786972_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786972_2.fastq.gz
patient1,SAMN22234317,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786973_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786973_2.fastq.gz
patient1,SAMN22234316,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786974_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786974_2.fastq.gz
patient1,SAMN22234315,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786975_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786975_2.fastq.gz
patient1,SAMN22234314,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786976_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786976_2.fastq.gz
patient1,SAMN22234313,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786977_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786977_2.fastq.gz
patient1,SAMN22234312,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786978_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786978_2.fastq.gz
patient1,SAMN22234311,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786979_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786979_2.fastq.gz
patient1,SAMN22234310,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786980_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786980_2.fastq.gz
patient1,SAMN22234309,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786981_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786981_2.fastq.gz
patient1,SAMN22234308,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786982_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786982_2.fastq.gz
patient1,SAMN22234289,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786983_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786983_2.fastq.gz
patient1,SAMN22234306,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786984_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786984_2.fastq.gz
patient1,SAMN22234305,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786985_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786985_2.fastq.gz
patient1,SAMN22234304,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786986_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786986_2.fastq.gz
patient1,SAMN22234303,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786987_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786987_2.fastq.gz
patient1,SAMN22234302,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786988_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786988_2.fastq.gz
patient1,SAMN22234301,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786989_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786989_2.fastq.gz
patient1,SAMN22234300,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786990_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786990_2.fastq.gz
patient1,SAMN22234299,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786991_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786991_2.fastq.gz
patient1,SAMN22234298,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786992_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786992_2.fastq.gz
patient1,SAMN22234297,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786993_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786993_2.fastq.gz
patient1,SAMN22234288,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786994_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786994_2.fastq.gz
patient1,SAMN22234287,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786995_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR13786995_2.fastq.gz
patient1,SAMN04440475,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR3105581_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR3105581_2.fastq.gz
patient1,SAMN04440475,lane2,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR3105582_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR3105582_2.fastq.gz
patient1,SAMN04440475,lane3,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR3123259_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR3123259_2.fastq.gz
